species,lat,lon,present
Dendrolagus lumholtzi,-17.27,145.48,1
Dendrolagus lumholtzi,-16.92,145.77,1
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.35,145.59,0
Dendrolagus lumholtzi,-17.25,145.58,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.54,145.63,1
Dendrolagus lumholtzi,-17.43,145.52,1
Dendrolagus lumholtzi,-17.46,145.60,1
Dendrolagus lumholtzi,-16.80,145.70,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.36,145.64,0
Dendrolagus lumholtzi,-17.32,145.46,1
Dendrolagus lumholtzi,-17.34,145.58,1
Dendrolagus lumholtzi,-17.33,145.50,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.70,145.53,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.54,145.47,1
Dendrolagus lumholtzi,-17.27,145.48,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.42,145.61,1
Dendrolagus lumholtzi,-16.97,145.49,1
Dendrolagus lumholtzi,-17.35,145.61,1
Dendrolagus lumholtzi,-17.43,145.52,1
Dendrolagus lumholtzi,-17.41,145.61,1
Dendrolagus lumholtzi,-17.23,145.69,1
Dendrolagus lumholtzi,-17.27,145.42,1
Dendrolagus lumholtzi,-17.44,145.54,1
Dendrolagus lumholtzi,-17.43,145.50,1
Dendrolagus lumholtzi,-17.39,145.67,1
Dendrolagus lumholtzi,-17.61,145.56,1
Dendrolagus lumholtzi,-17.48,145.48,1
Dendrolagus lumholtzi,-17.24,145.57,1
Dendrolagus lumholtzi,-17.45,145.88,1
Dendrolagus lumholtzi,-17.55,145.54,1
Dendrolagus lumholtzi,-17.32,145.51,0
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.28,145.57,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.38,145.59,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.40,145.46,1
Dendrolagus lumholtzi,-17.60,145.63,1
Dendrolagus lumholtzi,-17.29,145.59,1
Dendrolagus lumholtzi,-17.60,145.60,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.33,145.42,1
Dendrolagus lumholtzi,-17.30,145.45,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.40,145.52,1
Dendrolagus lumholtzi,-17.30,145.43,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.29,145.57,1
Dendrolagus lumholtzi,-17.27,145.56,1
Dendrolagus lumholtzi,-17.29,145.60,1
Dendrolagus lumholtzi,-17.40,145.61,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.38,145.38,1
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.29,145.57,1
Dendrolagus lumholtzi,-17.52,145.50,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.29,145.57,1
Dendrolagus lumholtzi,-17.41,145.62,1
Dendrolagus lumholtzi,-17.59,145.59,0
Dendrolagus lumholtzi,-17.28,145.47,1
Dendrolagus lumholtzi,-17.29,145.59,1
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-16.92,145.78,0
Dendrolagus lumholtzi,-17.32,145.49,1
Dendrolagus lumholtzi,-18.27,146.02,1
Dendrolagus lumholtzi,-17.35,145.35,1
Dendrolagus lumholtzi,-17.55,145.67,1
Dendrolagus lumholtzi,-17.42,145.68,1
Dendrolagus lumholtzi,-17.30,145.63,1
Dendrolagus lumholtzi,-18.20,145.84,1
Dendrolagus lumholtzi,-17.24,145.57,0
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.29,145.60,1
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.31,145.62,1
Dendrolagus lumholtzi,-17.54,145.61,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.29,145.57,1
Dendrolagus lumholtzi,-17.60,145.48,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.27,145.42,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.38,145.67,1
Dendrolagus lumholtzi,-17.47,145.55,0
Dendrolagus lumholtzi,-17.43,145.49,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.53,146.02,1
Dendrolagus lumholtzi,-17.36,145.64,1
Dendrolagus lumholtzi,-17.27,145.58,1
Dendrolagus lumholtzi,-17.43,145.51,1
Dendrolagus lumholtzi,-17.42,145.60,1
Dendrolagus lumholtzi,-17.32,145.42,0
Dendrolagus lumholtzi,-17.27,145.57,1
Dendrolagus lumholtzi,-16.80,145.64,0
Dendrolagus lumholtzi,-17.43,145.51,0
Dendrolagus lumholtzi,-17.33,145.87,0
Dendrolagus lumholtzi,-17.32,145.50,0
Dendrolagus lumholtzi,-17.35,145.45,0
Dendrolagus lumholtzi,-17.30,145.42,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.45,145.52,0
Dendrolagus lumholtzi,-17.41,145.52,0
Dendrolagus lumholtzi,-17.27,145.48,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.61,145.56,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.36,145.59,0
Dendrolagus lumholtzi,-17.44,145.46,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.32,145.55,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.27,145.56,0
Dendrolagus lumholtzi,-17.50,145.45,0
Dendrolagus lumholtzi,-17.27,145.48,0
Dendrolagus lumholtzi,-20.09,147.29,0
Dendrolagus lumholtzi,-18.47,145.86,0
Dendrolagus lumholtzi,-17.44,145.46,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.40,145.49,0
Dendrolagus lumholtzi,-16.82,145.69,0
Dendrolagus lumholtzi,-17.39,145.67,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.54,145.49,0
Dendrolagus lumholtzi,-17.28,145.57,0
Dendrolagus lumholtzi,-17.36,145.62,0
Dendrolagus lumholtzi,-17.28,145.58,0
Dendrolagus lumholtzi,-17.33,145.50,0
Dendrolagus lumholtzi,-17.32,145.42,0
Dendrolagus lumholtzi,-17.55,145.85,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.58,145.58,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.40,145.70,0
Dendrolagus lumholtzi,-17.46,145.61,0
Dendrolagus lumholtzi,-17.41,145.61,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-22.00,145.00,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-16.45,145.18,0
Dendrolagus lumholtzi,-17.50,145.38,0
Dendrolagus lumholtzi,-17.51,145.61,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.27,145.59,0
Dendrolagus lumholtzi,-17.33,145.50,0
Dendrolagus lumholtzi,-17.36,145.59,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-16.85,145.67,0
Dendrolagus lumholtzi,-17.27,145.56,0
Dendrolagus lumholtzi,-17.43,145.51,0
Dendrolagus lumholtzi,-17.93,145.59,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.72,145.86,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.30,145.42,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.58,145.58,0
Dendrolagus lumholtzi,-17.42,145.54,0
Dendrolagus lumholtzi,-17.39,145.67,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.36,145.59,0
Dendrolagus lumholtzi,-17.47,145.50,0
Dendrolagus lumholtzi,-17.70,145.53,0
Dendrolagus lumholtzi,-17.28,145.63,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.61,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.47,145.46,0
Dendrolagus lumholtzi,-17.45,145.50,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.39,145.60,0
Dendrolagus lumholtzi,-17.39,145.67,0
Dendrolagus lumholtzi,-17.86,145.59,0
Dendrolagus lumholtzi,-17.23,145.58,0
Dendrolagus lumholtzi,-17.52,145.49,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.64,145.92,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.30,145.42,0
Dendrolagus lumholtzi,-17.35,145.59,0
Dendrolagus lumholtzi,-17.36,145.59,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.50,145.58,0
Dendrolagus lumholtzi,-17.61,145.48,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.46,145.52,0
Dendrolagus lumholtzi,-17.31,145.61,0
Dendrolagus lumholtzi,-17.38,145.38,0
Dendrolagus lumholtzi,-17.32,145.42,0
Dendrolagus lumholtzi,-17.50,145.61,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.33,145.51,0
Dendrolagus lumholtzi,-17.42,145.40,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.92,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.50,145.45,0
Dendrolagus lumholtzi,-17.37,145.54,0
Dendrolagus lumholtzi,-16.79,145.68,0
Dendrolagus lumholtzi,-17.36,145.59,0
Dendrolagus lumholtzi,-17.44,145.46,0
Dendrolagus lumholtzi,-17.43,145.51,0
Dendrolagus lumholtzi,-17.51,145.59,0
Dendrolagus lumholtzi,-17.34,145.62,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.47,145.45,0
Dendrolagus lumholtzi,-17.56,145.58,0
Dendrolagus lumholtzi,-17.52,145.62,0
Dendrolagus lumholtzi,-17.26,145.57,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.32,145.52,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.65,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.00,145.00,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.45,145.47,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-18.09,145.31,0
Dendrolagus lumholtzi,-17.28,145.63,0
Dendrolagus lumholtzi,-17.43,145.60,0
Dendrolagus lumholtzi,-17.35,145.58,0
Dendrolagus lumholtzi,-17.57,145.47,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.44,145.65,0
Dendrolagus lumholtzi,-18.33,145.37,0
Dendrolagus lumholtzi,-17.26,145.57,0
Dendrolagus lumholtzi,-17.52,145.51,0
Dendrolagus lumholtzi,-17.29,145.62,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.44,145.46,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.59,145.58,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.27,145.49,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.45,145.48,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.30,145.43,0
Dendrolagus lumholtzi,-17.35,145.58,0
Dendrolagus lumholtzi,-17.31,145.42,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.37,145.66,0
Dendrolagus lumholtzi,-17.39,145.73,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.20,145.85,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.30,145.45,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.54,145.52,0
Dendrolagus lumholtzi,-17.61,145.50,0
Dendrolagus lumholtzi,-17.42,145.61,0
Dendrolagus lumholtzi,-17.20,145.60,0
Dendrolagus lumholtzi,-16.79,145.64,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.42,145.50,0
Dendrolagus lumholtzi,-17.43,145.51,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.37,145.61,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.58,145.55,0
Dendrolagus lumholtzi,-17.30,145.43,0
Dendrolagus lumholtzi,-17.30,145.42,0
Dendrolagus lumholtzi,-17.70,145.52,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.34,145.58,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.52,145.62,0
Dendrolagus lumholtzi,-17.51,145.61,0
Dendrolagus lumholtzi,-17.35,145.59,0
Dendrolagus lumholtzi,-17.72,145.52,0
Dendrolagus lumholtzi,-17.44,145.46,0
Dendrolagus lumholtzi,-17.34,145.62,0
Dendrolagus lumholtzi,-17.43,145.48,0
Dendrolagus lumholtzi,-17.28,145.45,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.43,145.47,0
Dendrolagus lumholtzi,-17.35,145.59,0
Dendrolagus lumholtzi,-17.52,145.50,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.39,145.67,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.38,145.59,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.47,145.59,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.29,145.59,0
Dendrolagus lumholtzi,-17.33,145.50,0
Dendrolagus lumholtzi,-17.52,145.51,0
Dendrolagus lumholtzi,-17.24,145.67,0
Dendrolagus lumholtzi,-17.30,145.43,0
Dendrolagus lumholtzi,-17.35,145.58,0
Dendrolagus lumholtzi,-17.39,145.68,0
Dendrolagus lumholtzi,-17.43,145.49,0
Dendrolagus lumholtzi,-17.69,145.50,0
Dendrolagus lumholtzi,-17.31,145.63,0
Dendrolagus lumholtzi,-17.34,145.63,0
Dendrolagus lumholtzi,-17.38,145.67,0
Dendrolagus lumholtzi,-17.27,145.58,0
Dendrolagus lumholtzi,-17.29,145.57,0
Dendrolagus lumholtzi,-17.42,145.48,0
Dendrolagus lumholtzi,-16.95,145.66,0
